Date,Interest,Inflation
01/07/2016,9,8.79
01/08/2016,9,8.05
01/09/2016,9,7.28
01/10/2016,9,7.16
01/11/2016,9,7
01/12/2016,8.75,8.53
01/01/2017,8.75,9.22
01/02/2017,8.75,10.13
01/03/2017,8.75,11.29
01/04/2017,8.75,11.87
01/05/2017,8.75,11.72
01/06/2017,8.75,10.9
01/07/2017,8.75,9.79
01/08/2017,8.75,10.68
01/09/2017,8.75,11.2
01/10/2017,8.75,11.9
01/11/2017,8.75,12.98
01/12/2017,8.75,11.92
01/01/2018,8.75,10.35
01/02/2018,8.75,10.26
01/03/2018,8.75,10.23
01/04/2018,8.75,10.85
01/05/2018,8.75,12.15
01/06/2018,18.5,15.39
01/07/2018,18.5,15.85
01/08/2018,18.5,17.9
01/09/2018,18.5,24.52
01/10/2018,18.5,25.24
01/11/2018,18.5,21.62
01/12/2018,18.5,20.3
01/01/2019,18.5,20.35
01/02/2019,18.5,19.67
01/03/2019,18.5,19.71
01/04/2019,18.5,19.5
01/05/2019,18.5,18.71
01/06/2019,18.5,15.72
01/07/2019,18.5,16.65
01/08/2019,18.5,15.01
01/09/2019,18.5,9.26
01/10/2019,17.25,8.55
01/11/2019,17.25,10.56
01/12/2019,12.75,11.84
01/01/2020,12.75,12.15
01/02/2020,12.75,12.37
01/03/2020,12.75,11.86
01/04/2020,12.75,10.94
01/05/2020,12.75,11.39
01/06/2020,9,12.62
01/07/2020,9,11.76
01/08/2020,9,11.77
01/09/2020,9,11.75
01/10/2020,9,11.89
01/11/2020,9,14.03
01/12/2020,15.75,14.6
01/01/2021,15.75,14.97
01/02/2021,15.75,15.61
01/03/2021,15.75,16.19
01/04/2021,15.75,17.14
01/05/2021,15.75,16.59
01/06/2021,15.75,17.53
01/07/2021,15.75,18.95
01/08/2021,15.75,19.25
01/09/2021,15.75,19.58
01/10/2021,15.75,19.89
01/11/2021,15.75,21.31
01/12/2021,15.75,36.08
01/01/2022,14.75,48.69
01/02/2022,14.75,54.44
01/03/2022,14.75,61.14
01/04/2022,14.75,69.97
01/05/2022,14.75,73.5
01/06/2022,14.75,78.62
01/07/2022,14.75,79.6
01/08/2022,14.75,80.21
01/09/2022,14.75,83.45
01/10/2022,14.75,85.51
01/11/2022,14.75,84.39
01/12/2022,9.75,64.27
01/01/2023,9.75,57.68
01/02/2023,9.75,55.18
01/03/2023,9.75,50.51
01/04/2023,9.75,43.68
01/05/2023,15.75,39.59
01/06/2023,15.75,38.21
01/07/2023,15.75,47.83
01/08/2023,15.75,58.94
01/09/2023,30.75,61.53
01/10/2023,30.75,61.36
01/11/2023,35.75,61.98
01/12/2023,43.25,64.77
01/01/2024,43.25,64.86
01/02/2024,43.25,67.07
01/03/2024,43.25,68.5
01/04/2024,50.75,69.8
01/05/2024,50.75,75.45
01/06/2024,50.75,71.6
01/07/2024,50.75,61.78
